district_number,district_name,county,county_code,is_charter,first_year,last_year,brb_id,has_boundary,former_names,aliases
061901,DENTON ISD,Denton,061,False,2009,2025,899,True,,
061902,LEWISVILLE ISD,Denton,061,False,2009,2025,2160,True,,
061903,PILOT POINT ISD,Denton,061,False,2009,2025,2898,True,,
061905,KRUM ISD,Denton,061,False,2009,2025,2025,True,,
061906,PONDER ISD,Denton,061,False,2009,2025,2932,True,,
061907,AUBREY ISD,Denton,061,False,2009,2025,135,True,,
061908,SANGER ISD,Denton,061,False,2009,2025,3266,True,,
061910,ARGYLE ISD,Denton,061,False,2009,2025,118,True,,
061911,NORTHWEST ISD,Denton,061,False,2009,2025,2713,True,,
061912,LAKE DALLAS ISD,Denton,061,False,2009,2025,2095,True,,
061914,LITTLE ELM ISD,Denton,061,False,2009,2025,2188,True,,
062901,CUERO ISD,Dewitt,062,False,2009,2025,796,True,,
062902,NORDHEIM ISD,Dewitt,062,False,2009,2025,2658,True,,
062903,YOAKUM ISD,Dewitt,062,False,2009,2025,3985,True,,
062904,YORKTOWN ISD,Dewitt,062,False,2009,2025,3987,True,,
062905,WESTHOFF ISD,Dewitt,062,False,2009,2025,3857,True,,
062906,MEYERSVILLE ISD,Dewitt,062,False,2009,2025,,True,,
063903,SPUR ISD,Dickens,063,False,2009,2025,3428,True,,
063906,PATTON SPRINGS ISD,Dickens,063,False,2009,2025,,True,,
064903,CARRIZO SPRINGS CISD,Dimmit,064,False,2009,2025,561,True,,
065901,CLARENDON ISD,Donley,065,False,2009,2025,641,True,,
065902,HEDLEY ISD,Donley,065,False,2009,2025,1707,True,,
066005,RAMIREZ CSD,Duval,066,False,2009,2025,,True,,
066901,BENAVIDES ISD,Duval,066,False,2009,2025,270,True,,
066902,SAN DIEGO ISD,Duval,066,False,2009,2025,3236,True,,
066903,FREER ISD,Duval,066,False,2009,2025,1211,True,,
067902,CISCO ISD,Eastland,067,False,2009,2025,637,True,,
067903,EASTLAND ISD,Eastland,067,False,2009,2025,992,True,,
067904,GORMAN ISD,Eastland,067,False,2009,2025,1342,True,,
067907,RANGER ISD,Eastland,067,False,2009,2025,,True,,
067908,RISING STAR ISD,Eastland,067,False,2009,2025,,True,,
068801,RICHARD MILBURN ACADEMY (ECTOR COU,Ector,068,True,2009,2014,,False,,
068802,COMPASS ACADEMY CHARTER SCHOOL,Ector,068,True,2012,2025,,False,,
068803,UTPB STEM ACADEMY,Ector,068,True,2015,2022,,False,,
068901,ECTOR COUNTY ISD,Ector,068,False,2009,2025,998,True,,
069901,ROCKSPRINGS ISD,Edwards,069,False,2009,2025,3122,True,,
069902,NUECES CANYON CISD,Edwards,069,False,2009,2025,2718,True,,
070801,FAITH FAMILY ACADEMY,Ellis,070,True,2009,2025,,False,WAXAHACHIE FAITH FAMILY ACADEMY,
070901,AVALON ISD,Ellis,070,False,2009,2025,144,True,,
070903,ENNIS ISD,Ellis,070,False,2009,2025,1048,True,,
070905,FERRIS ISD,Ellis,070,False,2009,2025,1113,True,,
070907,ITALY ISD,Ellis,070,False,2009,2025,1868,True,,
070908,MIDLOTHIAN ISD,Ellis,070,False,2009,2025,2435,True,,
070909,MILFORD ISD,Ellis,070,False,2009,2025,2447,True,,
070910,PALMER ISD,Ellis,070,False,2009,2025,2823,True,,
070911,RED OAK ISD,Ellis,070,False,2009,2025,3052,True,,
070912,WAXAHACHIE ISD,Ellis,070,False,2009,2025,3795,True,,
070915,MAYPEARL ISD,Ellis,070,False,2009,2025,2364,True,,
071801,BURNHAM WOOD CHARTER SCHOOL DISTRICT,El Paso,071,True,2009,2025,,False,BURNHAM WOOD CHARTER SCHOOL DISTRI,
071803,TRIUMPH PUBLIC HIGH SCHOOLS-WEST TEXAS,El Paso,071,True,2009,2025,,False,PASO DEL NORTE | PASO DEL NORTE ACADEMY CHARTER DIS | TRIUMPH PUBLIC HIGH SCHOOLS-EL PAS | TRIUMPH PUBLIC HIGH SCHOOLS-EL PASO,
071804,EL PASO ACADEMY,El Paso,071,True,2009,2025,,False,,
071805,EL PASO SCHOOL OF EXCELLENCE,El Paso,071,True,2009,2010,,False,,
071806,HARMONY PUBLIC SCHOOLS - WEST TEXAS,El Paso,071,True,2009,2025,,False,HARMONY SCIENCE ACAD (EL PASO),
071807,LA FE PREPARATORY SCHOOL,El Paso,071,True,2009,2025,,False,,
071809,VISTA DEL FUTURO CHARTER SCHOOL,El Paso,071,True,2011,2025,,False,,
071810,EL PASO LEADERSHIP ACADEMY,El Paso,071,True,2015,2025,,False,,
071901,CLINT ISD,El Paso,071,False,2009,2025,662,True,,
071902,EL PASO ISD,El Paso,071,False,2009,2025,1027,True,,
071903,FABENS ISD,El Paso,071,False,2009,2025,1084,True,,
071904,SAN ELIZARIO ISD,El Paso,071,False,2009,2025,3239,True,,
071905,YSLETA ISD,El Paso,071,False,2009,2025,3989,True,,
071906,ANTHONY ISD,El Paso,071,False,2009,2025,102,True,,
071907,CANUTILLO ISD,El Paso,071,False,2009,2025,552,True,,
071908,TORNILLO ISD,El Paso,071,False,2009,2025,3605,True,,
071909,SOCORRO ISD,El Paso,071,False,2009,2025,3368,True,,
072801,PREMIER HIGH SCHOOLS,Erath,072,True,2009,2025,,False,PARADIGM ACCELERATED CHARTER SCHOO,
072802,ERATH EXCELS ACADEMY INC,Erath,072,True,2009,2025,,False,,
072901,THREE WAY ISD,Erath,072,False,2009,2025,,True,,
072902,DUBLIN ISD,Erath,072,False,2009,2025,943,True,,
072903,STEPHENVILLE ISD,Erath,072,False,2009,2025,3445,True,STEPHENVILLE,
072904,BLUFF DALE ISD,Erath,072,False,2009,2025,319,True,,
072908,HUCKABAY ISD,Erath,072,False,2009,2025,1802,True,,
072909,LINGLEVILLE ISD,Erath,072,False,2009,2025,2181,True,,
072910,MORGAN MILL ISD,Erath,072,False,2009,2025,,True,,
073901,CHILTON ISD,Falls,073,False,2009,2025,624,True,,
073903,MARLIN ISD,Falls,073,False,2009,2025,2336,True,,
073904,WESTPHALIA ISD,Falls,073,False,2009,2025,3864,True,,
073905,ROSEBUD-LOTT ISD,Falls,073,False,2009,2025,3142,True,,
074903,BONHAM ISD,Fannin,074,False,2009,2025,329,True,,
074904,DODD CITY ISD,Fannin,074,False,2009,2025,925,True,,
074905,ECTOR ISD,Fannin,074,False,2009,2025,999,True,,
074907,HONEY GROVE ISD,Fannin,074,False,2009,2025,1772,True,,
074909,LEONARD ISD,Fannin,074,False,2009,2025,2154,True,,
074911,SAVOY ISD,Fannin,074,False,2009,2025,3282,True,,
074912,TRENTON ISD,Fannin,074,False,2009,2025,3646,True,,
074917,SAM RAYBURN ISD,Fannin,074,False,2009,2025,3221,True,,
075901,FLATONIA ISD,Fayette,075,False,2009,2025,1117,True,,
075902,LA GRANGE ISD,Fayette,075,False,2009,2025,2070,True,,
075903,SCHULENBURG ISD,Fayette,075,False,2009,2025,3289,True,,
075906,FAYETTEVILLE ISD,Fayette,075,False,2009,2025,1110,True,,
075908,ROUND TOP-CARMINE ISD,Fayette,075,False,2009,2025,3152,True,,
076903,ROBY CISD,Fisher,076,False,2009,2025,3113,True,,
076904,ROTAN ISD,Fisher,076,False,2009,2025,3147,True,,
077901,FLOYDADA COLLEGIATE ISD,Floyd,077,False,2009,2025,1126,True,FLOYDADA ISD,Floydada ISD
077902,LOCKNEY ISD,Floyd,077,False,2009,2025,2210,True,,
078901,CROWELL ISD,Foard,078,False,2009,2025,789,True,,
079901,LAMAR CISD,Fort Bend,079,False,2009,2025,2113,True,,
079906,NEEDVILLE ISD,Fort Bend,079,False,2009,2025,2615,True,,
079907,FORT BEND ISD,Fort Bend,079,False,2009,2025,1193,True,,
079908,KENDLETON ISD,Fort Bend,079,False,2009,2010,1970,False,,
079910,STAFFORD MSD,Fort Bend,079,False,2009,2025,3431,True,,
080901,MOUNT VERNON ISD,Franklin,080,False,2009,2025,2548,True,,
081902,FAIRFIELD ISD,Freestone,081,False,2009,2025,1089,True,,
